ID,title,score,director,cast,country,added,release,rating,duration,description,platform,Action & Adventure,Adult Animation,Animals & Nature,Animation,Anime,Anthology,Arthouse,Arts,Biographical,Black Stories,Buddy,Cartoons,Children & Family Movies,Classic Movies,Comedies,Coming of Age,Crime,Cult Movies,Dance,Disaster,Documentaries,Drama,Entertainment,Faith & Spirituality,Family,Fantasy,History,Horror & Suspense,Independent Movies,International,Kids,LGBTQ,Lifestyle & Culture,Medical,Military and War,Music,Mystery,News,Parody,Reality,Romance,Romantic Comedies,Sci-Fi & Fantasy,Science & Technology,Special Interest,Sports,Spy/Espionage,Stand Up,Superhero,Survival,Teen,Thriller,Variety,Western
4311,Fat City,63,John Huston,"Stacy Keach, Jeff Bridges, Susan Tyrrell, Candy Clark, Nicholas Colasanto",,,1972,PG,97 min,"Two men, working as professional boxers, come to blows when their careers each begin to take opposite momentum.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4312,USS Indianapolis: Men of Courage,63,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Johnny Wactor, Adam Scott Miller, Cody Walker, Callard Harris",United States,2019-09-25,2016,R,130 min,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",Netflix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313,USS Indianapolis: Men of Courage,63,Mario Van Peebles,"Nicolas Cage, Matt Lanter, Thomas Jane, Tom Sizemore",,,2016,R,131 min,"Nicolas Cage, Tom Sizemore and Thomas Jane star in the harrowing tale of real life American heroes shipwrecked in shark infested waters in the waning days of World War II.",Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4314,Black Butterfly,63,Brian Goodman,"Antonio Banderas, Jonathan Rhys Meyers, Piper Perabo",,,2017,R,93 min,"Antonio Banderas, Jonathan Rhys Meyers, and Piper Perabo headline this chilling tale of a writer who takes in a mysterious drifter at his remote cabin and soon finds himself in a dangerous situation spiraling out of control.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4315,Kansas City Confidential,63,Phil Karlson,"John Payne, Coleen Gray, Preston Foster, Neville Brand, Lee Van Cleef",,,1952,13+,99 min,An ex-con trying to go straight is framed for a million-dollar armored car robbery and must go to Mexico to unmask the real culprits.,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4316,Gleason,63,Clay Tweel,"Steve Gleason, Michel Varisco, Rivers Gleason, Scott Fujita, Drew Brees, Mike Mccready, Blair Casey, Eddie Vedder",United States,,2016,R,111 min,"At the age of 34, Steve Gleason, former NFL defensive back and New Orleans hero, was diagnosed with ALS. Doctors gave him two to five years to live. So that is what Steve chose to do: live. This film incorporates personal video journals from Gleason for his then-unborn son to footage of his adventures undertaken as part of his mission to live his life to the fullest.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4317,Drug War,63,Johnnie To,"Louis Koo, Hanglei Sun, Wallace Chung, Yi Huang",,,2013,R,107 min,"Manufacturing just 50 grams of meth in China will earn you a death sentence. Timmy Choi just got caught making tons. Now he's in the custody of Captain Zhang, and has one chance to avoid execution - turn informant and help the cops bring down the powerful cartel he's been cooking for.",Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4318,47 Meters Down: Uncaged,63,Johannes Roberts,"Sophie Nélisse, Nia Long, Corinee Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, John Corbett","United Kingdom, United States",,2019,PG-13,90 min,Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4319,Bachna Ae Haseeno,63,Siddharth Anand,"Ranbir Kapoor, Bipasha Basu, Minissha Lamba, Deepika Padukone, Puneet Issar, Kunal Kapoor",India,,2008,13+,152 min,"""Meet Raj (Ranbir Kapoor),who keeps falling in love. It’s not his fault that he’s a heartbreaker. Come discover his three love stories; Raj & Mahi (Minissha Lamba), Raj & Radhika (Bipasha Basu), Raj & Gayatri (Deepika Padukone). Different ladyloves at different times in his life. And each of them, teach him a little bit about love & a little bit about life, in their own sweet, sexy or sassy way.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4320,Any Day Now,63,Travis Fine,"Alan Cumming, Garret Dillahunt",United States,,2012,R,98 min,"Based on a true story from the 1970s, Any Day Now is a powerful tale of love, acceptance and family. When a teenager with Down syndrome is abandoned by his mother, a gay couple take him in and become the loving family he's never had. But when their living arrangement is discovered, the men are forced to fight a biased legal system to save the life of the child they have come to love as their own.",Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
