ID,title,score,director,release,genre,subgenre,platform
3483,Once Upon a Time in Venice,63,,2017,,,Hulu
3484,The Spy Next Door,63,Brian Levant,2010,,,Netflix
3485,The Rewrite,63,,2015,,,Hulu
3486,Brian Banks,63,,2019,,,Hulu
3487,Soul Food,63,George Tillman Jr.,1997,,,Amazon Prime
3488,My Scientology Movie,63,John Dower,2015,,,Netflix
3489,My Scientology Movie,63,,2017,,,Hulu
3490,Hail Satan?,63,,2019,,,Hulu
3491,Tiny Toon Adventures: How I Spent My Vacation,63,,1992,,,Hulu
3492,Little Fish,63,,2020,,,Hulu
3493,Aniara,63,,2018,,,Hulu
3494,Beach Rats,63,,2018,,,Hulu
3495,The Hero,63,,2017,,,Hulu
3496,The Hero,63,Brett Haley,2017,,,Amazon Prime
3497,Two of Us,63,,2019,,,Hulu
3498,Walking Tall,63,,1973,,,Hulu
3499,The Postcard Killings,63,,2020,,,Hulu
3500,Barking Dogs Never Bite,63,,2000,,,Hulu
3501,High Strung,63,,2016,,,Hulu
3502,High Strung,63,Michael Damian,2016,,,Amazon Prime
3503,Tooth Fairy,63,,2010,,,Hulu
3504,Chappaquiddick,63,John Curran,2017,,,Netflix
3505,Chappaquiddick,63,,2017,,,Hulu
3506,Angel of Mine,63,,2019,,,Hulu
3507,4th Man Out,63,Andrew Nackman,2015,,,Netflix
3508,4th Man Out,63,,2015,,,Hulu
3509,Band Aid,63,Zoe Lister-Jones,2017,,,Netflix
3510,Band Aid,63,,2017,,,Hulu
3511,It's a Disaster,63,,2013,,,Hulu
3512,I Am Greta,63,,2020,,,Hulu
3513,Dealt,63,,2017,,,Hulu
3514,The Unknown Girl,63,"Jean-Pierre Dardenne, Luc Dardenne",2016,,,Netflix
3515,The Unknown Girl,63,,2016,,,Hulu
3516,The Painter and the Thief,62,,2020,,,Hulu
3517,The Keeping Room,62,,2015,,,Hulu
3518,The Keeping Room,62,Daniel Barber,2015,,,Amazon Prime
3519,Buffaloed,62,,2019,,,Hulu
3520,Flower,62,,2017,,,Hulu
3521,Miss Stevens,62,Julia Hart,2016,,,Netflix
3522,The Kid,62,,2019,,,Hulu
3523,The Beach Bum,62,,2019,,,Hulu
3524,2067,62,,2020,,,Hulu
3525,Daphne,62,,2017,,,Hulu
3526,Daphne,62,Clare Beavan,2007,,,Amazon Prime
3527,Cowboys,62,,2020,,,Hulu
3528,Tragedy Girls,62,,2017,,,Hulu
3529,The Man Who Killed Hitler and Then the Bigfoot,62,,2018,,,Hulu
3530,Vox Lux,62,,2018,,,Hulu
3531,The Binge,62,,2020,,,Hulu
3532,MLK/FBI,62,,2020,,,Hulu
3533,Support the Girls,62,,2018,,,Hulu
3534,Proxima,62,,2019,,,Hulu
3535,Blue Chips,62,,1994,,,Hulu
3536,Middle School: The Worst Years of My Life,62,Steve Carr,2016,,,Netflix
3537,In the Cut,62,Jane Campion,2003,,,Netflix
3538,The Courier,61,,2019,,,Hulu
3539,The Festival,61,,2018,,,Hulu
3540,68 Kill,61,Trent Haaga,2017,,,Netflix
3541,68 Kill,61,,2017,,,Hulu
3542,Factotum,61,,2005,,,Hulu
3543,And So It Goes,61,,2014,,,Hulu
3544,And So It Goes,61,Rob Reiner,2014,,,Amazon Prime
3545,Batman & Bill,61,,2017,,,Hulu
3546,The Tax Collector,61,,2020,,,Hulu
3547,Dismissed,61,Benjamin Arfmann,2017,,,Netflix
3548,Dismissed,61,,2017,,,Hulu
3549,Dismissed,61,Benjamin Arfmann,2017,,,Amazon Prime
3550,Spree,61,,2020,,,Hulu
3551,Dear Comrades!,61,,2020,,,Hulu
3552,WeWork: or The Making and Breaking of a $47 Billion Unicorn,61,,2021,,,Hulu
3553,Princess Cyd,61,Stephen Cone,2017,,,Netflix
3554,Princess Cyd,61,,2017,,,Hulu
3555,Ode to Joy,61,,2019,,,Hulu
3556,Those People,61,,2015,,,Hulu
3557,Those People,61,Joey Kuhn,2016,,,Amazon Prime
3558,Girls Just Want to Have Fun,61,,1985,,,Hulu
