show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform
s1386,Movie,Treasure Island,Byron Haskin,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald, Denis O'Dea, Finlay Currie","United Kingdom, United States",2019-11-12,1950,PG,96 min,"Action-Adventure, Family",The classic tale of a young boy's search for buried treasure.,Disney Plus
s1387,Movie,Treasure of Matecumbe,Vincent McEveety,"Robert Foxworth, Joan Hackett, Peter Ustinov, Vic Morrow, Johnny Doran, Billy Attmore",United States,2019-11-12,1976,G,116 min,"Action-Adventure, Family, Mystery","Using a secret map, friends face a dangerous search for pirate gold. See details for advisory.",Disney Plus
s1388,Movie,Treasure Planet,"John Musker, Ron Clements","Joseph Gordon-Levitt, Brian Murray, Emma Thompson, David Pierce, Martin Short, Dane Davis",United States,2019-11-12,2002,PG,98 min,"Action-Adventure, Animation, Family",Jim Hawkins follow an intergalactic map in search of Captain Flint's trove.,Disney Plus
s1389,Movie,Tree Climbing Lions,,Alexander Braczkowski,,2019-11-12,2018,TV-PG,45 min,"Animals & Nature, Documentary, Family","Lions in Uganda exhibit a rare, mysterious behavior – they spend much of their lives up in trees.",Disney Plus
s1390,Movie,Tron,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan, Barnard Hughes, Dan Shor",United States,2019-11-12,1982,PG,96 min,"Action-Adventure, Family, Science Fiction","After practicing his hacking chops, a brilliant video game maker becomes part of his own creation.",Disney Plus
s1391,Movie,Tru Confessions,Paul Hoen,"Shia LaBeouf, Clara Bryant, William McGuire, Nicole Dicker, Kevin Duhaney, Yani Gellman","United States, Canada",2019-11-12,2002,TV-G,83 min,"Coming of Age, Drama",A chance to star in a TV show reveals the value of family for Trudy Walker.,Disney Plus
s1392,Movie,Tuck Everlasting,Jay Russell,"Alexis Bledel, Ben Kingsley, Sissy Spacek, Amy Irving, Victor Garber, Jonathan Jackson",United States,2019-11-12,2002,PG,91 min,"Coming of Age, Drama, Fantasy",A woman falls in love with a man who is immortal.,Disney Plus
s1393,Movie,Tugboat Mickey,Clyde Geronimi,"Walt Disney, Clarence Nash, Pinto Colvig",United States,2019-11-12,1940,TV-G,8 min,"Animation, Comedy, Family",Mickey captains a tugboat with Donald and Goofy as the crew. See details for advisory.,Disney Plus
s1394,Movie,Twas the Night,Nick Castle,"Bryan Cranston, Josh Zuckerman, Jefferson Mappin, Brenda Grate, Rhys Williams, Barclay Hope",United States,2019-11-12,2001,TV-G,87 min,"Comedy, Crime, Fantasy",Danny and his con-artist uncle take over when Santa Claus is knocked out.,Disney Plus
s1395,Movie,Twitches,Stuart Gillard,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Jennifer Robertson",United States,2019-11-12,2005,TV-PG,87 min,"Comedy, Fantasy",Reunited twin girls discover they have magical powers.,Disney Plus
s1396,Movie,Twitches Too,Stuart Gillard,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Leslie Seiler",United States,2019-11-12,2007,TV-PG,84 min,"Comedy, Fantasy","When a new evil threat arrives, it's up to the twitches to save Coventry.",Disney Plus
